model,ngram,stop_words,n_comp,max_features,n_clusters,lemmatization,WSS,Silhouette Score
cv,"(1, 2)",english,50,5000,13,True,6389.0321,-0.0009
cv,"(1, 2)",english,100,1000,5,False,2746.4167,0.1175
cv,"(1, 2)",english,100,1000,5,True,2641.6248,0.0609
cv,"(1, 2)",english,100,1000,9,False,2638.2762,-0.0608
cv,"(1, 2)",english,100,1000,9,True,2532.7486,0.0546
cv,"(1, 2)",english,100,1000,13,False,2543.5407,0.0199
cv,"(1, 2)",english,100,1000,13,True,2461.8921,0.0233
cv,"(1, 2)",english,100,5000,5,False,6658.8329,0.0094
cv,"(1, 2)",english,100,5000,5,True,6617.8455,-0.0240
cv,"(1, 2)",english,100,5000,9,False,6553.2088,-0.0121
cv,"(1, 2)",english,100,5000,9,True,6508.3183,-0.0028
cv,"(1, 2)",english,100,5000,13,False,6462.4877,-0.0030
cv,"(1, 2)",english,100,5000,13,True,6389.0321,-0.0009
cv,"(1, 3)",None,50,1000,5,False,3554.2953,0.0168
cv,"(1, 3)",None,50,1000,5,True,3531.3374,0.0434
cv,"(1, 3)",None,50,1000,9,False,3455.5880,0.0412
cv,"(1, 3)",None,50,1000,9,True,3342.1612,0.0206
cv,"(1, 3)",None,50,1000,13,False,3326.4055,0.0147
cv,"(1, 3)",None,50,1000,13,True,3238.8695,0.0468
cv,"(1, 3)",None,50,5000,5,False,7757.0849,0.0161
cv,"(1, 3)",None,50,5000,5,True,7636.4734,0.0360
cv,"(1, 3)",None,50,5000,9,False,7568.5855,0.0097
cv,"(1, 3)",None,50,5000,9,True,7520.4624,-0.0672
cv,"(1, 3)",None,50,5000,13,False,7448.4317,-0.0420
cv,"(1, 3)",None,50,5000,13,True,7293.3849,-0.0550
cv,"(1, 3)",None,100,1000,5,False,3554.2953,0.0168
cv,"(1, 3)",None,100,1000,5,True,3531.3374,0.0434
cv,"(1, 3)",None,100,1000,9,False,3455.5880,0.0412
cv,"(1, 3)",None,100,1000,9,True,3342.1612,0.0206
cv,"(1, 3)",None,100,1000,13,False,3326.4055,0.0147
cv,"(1, 3)",None,100,1000,13,True,3238.8695,0.0468
cv,"(1, 3)",None,100,5000,5,False,7757.0849,0.0161
cv,"(1, 3)",None,100,5000,5,True,7636.4734,0.0360
cv,"(1, 3)",None,100,5000,9,False,7568.5855,0.0097
cv,"(1, 3)",None,100,5000,9,True,7520.4624,-0.0672
cv,"(1, 3)",None,100,5000,13,False,7448.4317,-0.0420
cv,"(1, 3)",None,100,5000,13,True,7293.3849,-0.0550
cv,"(1, 3)",english,50,1000,5,False,2805.2009,0.0867
cv,"(1, 3)",english,50,1000,5,True,2667.6985,0.0470
cv,"(1, 3)",english,50,1000,9,False,2688.8517,0.0616
cv,"(1, 3)",english,50,1000,9,True,2616.6329,0.1370
cv,"(1, 3)",english,50,1000,13,False,2608.2686,0.0676
