model,ngram,stop_words,n_comp,max_features,n_clusters,lemmatization,WSS,Silhouette Score
lsa,"(1, 3)",english,50,1000,9,False,110.4957,0.1036
lsa,"(1, 3)",english,50,1000,9,True,111.9200,0.0762
lsa,"(1, 3)",english,50,1000,13,False,100.0056,0.1142
lsa,"(1, 3)",english,50,1000,13,True,100.8722,0.1165
lsa,"(1, 3)",english,50,5000,5,False,77.5545,0.1332
lsa,"(1, 3)",english,50,5000,5,True,77.3042,0.0984
lsa,"(1, 3)",english,50,5000,9,False,71.2156,0.1274
lsa,"(1, 3)",english,50,5000,9,True,70.7801,0.0569
lsa,"(1, 3)",english,50,5000,13,False,64.6438,0.1727
lsa,"(1, 3)",english,50,5000,13,True,64.3764,0.0500
lsa,"(1, 3)",english,100,1000,5,False,210.4484,0.0213
lsa,"(1, 3)",english,100,1000,5,True,211.4896,0.0397
lsa,"(1, 3)",english,100,1000,9,False,200.2221,0.0450
lsa,"(1, 3)",english,100,1000,9,True,201.6363,0.0499
lsa,"(1, 3)",english,100,1000,13,False,190.8446,0.0575
lsa,"(1, 3)",english,100,1000,13,True,192.9995,0.0609
lsa,"(1, 3)",english,100,5000,5,False,138.4190,0.0653
lsa,"(1, 3)",english,100,5000,5,True,138.3372,-0.0018
lsa,"(1, 3)",english,100,5000,9,False,132.8013,0.0213
lsa,"(1, 3)",english,100,5000,9,True,132.4013,0.0035
lsa,"(1, 3)",english,100,5000,13,False,126.5699,0.0266
lsa,"(1, 3)",english,100,5000,13,True,127.0253,0.0263
